name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,player_id,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,gw,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,points,transfers_balance,transfers_in,transfers_out,price,was_home,winning_goals,yellow_cards,GW,season,pos,team,xP,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
Nathan Redmond,0,,,,0,3,0,,,0.0,,,403,,,8,,0,0,0.0,,0.0,,2022-08-06T14:00:00Z,,,,1,,,18,0,,0,0,,0,1,0,5871,,,,1.0,4.0,0.0,1,0,0,0,55,False,,0,1,2022-23,MID,Southampton,1.5,0.0,0.0,0.0,0.0,0.0
Junior Stanislas,0,,,,0,3,0,,,0.0,,,58,,,2,,0,0,0.0,,0.0,,2022-08-06T14:00:00Z,,,,1,,,2,0,,0,0,,0,1,0,9491,,,,0.0,2.0,0.0,1,0,0,0,50,True,,0,1,2022-23,MID,Bournemouth,1.1,0.0,0.0,0.0,0.0,0.0
Armando Broja,0,,,,0,3,0,,,0.3,,,150,,,3,,0,0,2.5,,5.2,,2022-08-06T16:30:00Z,,,,15,,,8,0,,0,0,,0,1,0,124903,,,,1.0,0.0,19.0,1,0,0,0,55,False,,0,1,2022-23,FWD,Chelsea,2.0,0.0,0.0,0.0,0.0,0.0
Fabian Schär,0,,,,3,43,1,,,14.6,,,366,,,7,,0,1,10.6,,66.0,,2022-08-06T14:00:00Z,,,,90,,,16,0,,0,0,,0,1,0,40132,,,,0.0,2.0,25.0,15,0,0,0,45,True,,0,1,2022-23,DEF,Newcastle,2.4,0.0,0.0,0.0,0.0,0.0
Jonny Evans,0,,,,0,15,0,,,1.3,,,249,,,6,,2,0,1.5,,14.0,,2022-08-07T13:00:00Z,,,,90,,,4,0,,0,0,,0,1,0,24256,,,,2.0,2.0,0.0,1,0,0,0,45,True,,0,1,2022-23,DEF,Leicester,1.9,0.0,0.0,0.0,0.0,0.0
Brennan Johnson,0,,,,0,3,0,,,0.9,,,394,,,7,,2,0,0.6,,0.0,,2022-08-06T14:00:00Z,,,,90,,,15,0,,0,0,,0,1,0,171887,,,,0.0,2.0,6.0,2,0,0,0,60,False,,0,1,2022-23,FWD,Nott'm Forest,1.3,0.0,0.0,0.0,0.0,0.0
Cheick Doucouré,0,,,,0,16,0,,,3.8,,,514,,,1,,1,0,1.0,,5.8,,2022-08-05T19:00:00Z,,,,74,,,1,0,,0,0,,0,1,0,9875,,,,2.0,0.0,0.0,2,0,0,0,50,True,,0,1,2022-23,MID,Crystal Palace,1.1,0.0,0.0,0.0,0.0,0.0
Oliver Hammond,0,,,,0,0,0,,,0.0,,,553,,,7,,0,0,0.0,,0.0,,2022-08-06T14:00:00Z,,,,0,,,15,0,,0,0,,0,1,0,3300,,,,0.0,2.0,0.0,0,0,0,0,45,False,,0,1,2022-23,MID,Nott'm Forest,0.5,0.0,0.0,0.0,0.0,0.0
Luke Cundle,0,,,,0,0,0,,,0.0,,,485,,,5,,0,0,0.0,,0.0,,2022-08-06T14:00:00Z,,,,0,,,11,0,,0,0,,0,1,0,36521,,,,1.0,2.0,0.0,0,0,0,0,45,False,,0,1,2022-23,MID,Wolves,1.5,0.0,0.0,0.0,0.0,0.0
Fin Stevens,0,,,,0,0,0,,,0.0,,,540,,,6,,0,0,0.0,,0.0,,2022-08-07T13:00:00Z,,,,0,,,10,0,,0,0,,0,1,0,15679,,,,2.0,2.0,0.0,0,0,0,0,40,False,,0,1,2022-23,DEF,Brentford,1.0,0.0,0.0,0.0,0.0,0.0
