id,web_name,first_name,second_name,element_type,position,team_id,team_name,team_short,now_cost,status,chance_of_playing_next_round,selected_by_percent,form,points_per_game,influence,creativity,threat,ict_index
1,Raya,David,Raya Martín,1,GK,1,Arsenal,ARS,5.5,a,,19.5,10.0,10.0,49.2,0.0,0.0,4.9
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,GK,1,Arsenal,ARS,4.5,a,,0.9,0.0,0.0,0.0,0.0,0.0,0.0
3,Hein,Karl,Hein,1,GK,1,Arsenal,ARS,4.0,a,,0.6,0.0,0.0,0.0,0.0,0.0,0.0
4,Setford,Tommy,Setford,1,GK,1,Arsenal,ARS,4.0,a,,0.2,0.0,0.0,0.0,0.0,0.0,0.0
5,Gabriel,Gabriel,dos Santos Magalhães,2,DEF,1,Arsenal,ARS,6.0,a,,19.3,6.0,6.0,22.8,0.3,4.0,2.7
6,Saliba,William,Saliba,2,DEF,1,Arsenal,ARS,6.0,a,,15.9,9.0,9.0,31.4,0.1,0.0,3.2
7,Calafiori,Riccardo,Calafiori,2,DEF,1,Arsenal,ARS,5.5,a,,2.7,13.0,13.0,36.2,2.1,35.0,7.3
8,J.Timber,Jurriën,Timber,2,DEF,1,Arsenal,ARS,5.5,a,,2.1,0.0,0.0,3.0,0.3,0.0,0.3
9,Kiwior,Jakub,Kiwior,2,DEF,1,Arsenal,ARS,5.5,a,,0.1,0.0,0.0,0.0,0.0,0.0,0.0
10,Lewis-Skelly,Myles,Lewis-Skelly,2,DEF,1,Arsenal,ARS,5.5,a,,4.0,0.0,0.0,0.2,0.0,0.0,0.0
11,White,Benjamin,White,2,DEF,1,Arsenal,ARS,5.5,a,,1.0,6.0,6.0,15.4,11.3,1.0,2.8
12,Zinchenko,Oleksandr,Zinchenko,2,DEF,1,Arsenal,ARS,5.0,a,,0.4,0.0,0.0,0.0,0.0,0.0,0.0
13,Clarke,Brayden,Clarke,2,DEF,1,Arsenal,ARS,4.0,a,,0.6,0.0,0.0,0.0,0.0,0.0,0.0
14,Kacurri,Maldini,Kacurri,2,DEF,1,Arsenal,ARS,4.0,a,,0.2,0.0,0.0,0.0,0.0,0.0,0.0
15,Nichols,Josh,Nichols,2,DEF,1,Arsenal,ARS,4.0,a,,0.2,0.0,0.0,0.0,0.0,0.0,0.0
16,Saka,Bukayo,Saka,3,MID,1,Arsenal,ARS,10.0,a,,16.8,3.0,3.0,12.0,16.4,7.0,3.5
17,Ødegaard,Martin,Ødegaard,3,MID,1,Arsenal,ARS,8.0,a,,3.8,5.0,5.0,17.8,20.3,17.0,5.5
18,Madueke,Noni,Madueke,3,MID,1,Arsenal,ARS,7.0,a,,1.1,1.0,1.0,1.6,10.7,2.0,1.4
19,Martinelli,Gabriel,Martinelli Silva,3,MID,1,Arsenal,ARS,7.0,a,,1.5,1.0,1.0,6.2,10.3,21.0,3.8
20,Trossard,Leandro,Trossard,3,MID,1,Arsenal,ARS,7.0,a,100.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
21,Rice,Declan,Rice,3,MID,1,Arsenal,ARS,6.5,a,,8.2,6.0,6.0,2.6,1.3,8.0,1.2
22,Merino,Mikel,Merino Zazón,3,MID,1,Arsenal,ARS,6.0,a,,0.6,1.0,1.0,1.2,0.0,0.0,0.1
23,Fábio Vieira,Fábio,Ferreira Vieira,3,MID,1,Arsenal,ARS,5.5,a,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Nørgaard,Christian,Nørgaard,3,MID,1,Arsenal,ARS,5.5,d,75.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
25,Nwaneri,Ethan,Nwaneri,3,MID,1,Arsenal,ARS,5.5,a,,0.3,0.0,0.0,0.0,0.0,0.0,0.0
26,Zubimendi,Martín,Zubimendi Ibáñez,3,MID,1,Arsenal,ARS,5.5,a,,2.3,5.0,5.0,16.0,1.9,2.0,2.0
27,Nelson,Reiss,Nelson,3,MID,1,Arsenal,ARS,5.0,a,,0.1,0.0,0.0,0.0,0.0,0.0,0.0
28,Kabia,Ismeal,Kabia,3,MID,1,Arsenal,ARS,4.5,a,,0.3,0.0,0.0,0.0,0.0,0.0,0.0
29,Sambi,Albert,Sambi Lokonga,3,MID,1,Arsenal,ARS,4.5,a,,0.1,0.0,0.0,0.0,0.0,0.0,0.0
