id,web_name,position,team_id,team_name,team_short,now_cost,selected_by_percent,status,chance_of_playing_next_round,form,points_per_game,influence,creativity,threat,ict_index,opp_team_id,opp_team_short,is_home,fdr,gw
1,Raya,GK,1,Arsenal,ARS,5.5,19.5,a,,10.0,10.0,49.2,0.0,0.0,4.9,11,LEE,True,2,2
2,Arrizabalaga,GK,1,Arsenal,ARS,4.5,0.9,a,,0.0,0.0,0.0,0.0,0.0,0.0,11,LEE,True,2,2
3,Hein,GK,1,Arsenal,ARS,4.0,0.6,a,,0.0,0.0,0.0,0.0,0.0,0.0,11,LEE,True,2,2
4,Setford,GK,1,Arsenal,ARS,4.0,0.2,a,,0.0,0.0,0.0,0.0,0.0,0.0,11,LEE,True,2,2
5,Gabriel,DEF,1,Arsenal,ARS,6.0,19.3,a,,6.0,6.0,22.8,0.3,4.0,2.7,11,LEE,True,2,2
6,Saliba,DEF,1,Arsenal,ARS,6.0,15.9,a,,9.0,9.0,31.4,0.1,0.0,3.2,11,LEE,True,2,2
7,Calafiori,DEF,1,Arsenal,ARS,5.5,2.7,a,,13.0,13.0,36.2,2.1,35.0,7.3,11,LEE,True,2,2
8,J.Timber,DEF,1,Arsenal,ARS,5.5,2.1,a,,0.0,0.0,3.0,0.3,0.0,0.3,11,LEE,True,2,2
9,Kiwior,DEF,1,Arsenal,ARS,5.5,0.1,a,,0.0,0.0,0.0,0.0,0.0,0.0,11,LEE,True,2,2
10,Lewis-Skelly,DEF,1,Arsenal,ARS,5.5,4.0,a,,0.0,0.0,0.2,0.0,0.0,0.0,11,LEE,True,2,2
11,White,DEF,1,Arsenal,ARS,5.5,1.0,a,,6.0,6.0,15.4,11.3,1.0,2.8,11,LEE,True,2,2
12,Zinchenko,DEF,1,Arsenal,ARS,5.0,0.4,a,,0.0,0.0,0.0,0.0,0.0,0.0,11,LEE,True,2,2
13,Clarke,DEF,1,Arsenal,ARS,4.0,0.6,a,,0.0,0.0,0.0,0.0,0.0,0.0,11,LEE,True,2,2
14,Kacurri,DEF,1,Arsenal,ARS,4.0,0.2,a,,0.0,0.0,0.0,0.0,0.0,0.0,11,LEE,True,2,2
15,Nichols,DEF,1,Arsenal,ARS,4.0,0.2,a,,0.0,0.0,0.0,0.0,0.0,0.0,11,LEE,True,2,2
16,Saka,MID,1,Arsenal,ARS,10.0,16.8,a,,3.0,3.0,12.0,16.4,7.0,3.5,11,LEE,True,2,2
17,Ødegaard,MID,1,Arsenal,ARS,8.0,3.8,a,,5.0,5.0,17.8,20.3,17.0,5.5,11,LEE,True,2,2
18,Madueke,MID,1,Arsenal,ARS,7.0,1.1,a,,1.0,1.0,1.6,10.7,2.0,1.4,11,LEE,True,2,2
19,Martinelli,MID,1,Arsenal,ARS,7.0,1.5,a,,1.0,1.0,6.2,10.3,21.0,3.8,11,LEE,True,2,2
20,Trossard,MID,1,Arsenal,ARS,7.0,0.3,a,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11,LEE,True,2,2
21,Rice,MID,1,Arsenal,ARS,6.5,8.2,a,,6.0,6.0,2.6,1.3,8.0,1.2,11,LEE,True,2,2
22,Merino,MID,1,Arsenal,ARS,6.0,0.6,a,,1.0,1.0,1.2,0.0,0.0,0.1,11,LEE,True,2,2
23,Fábio Vieira,MID,1,Arsenal,ARS,5.5,0.0,a,,0.0,0.0,0.0,0.0,0.0,0.0,11,LEE,True,2,2
24,Nørgaard,MID,1,Arsenal,ARS,5.5,0.5,d,75.0,0.0,0.0,0.0,0.0,0.0,0.0,11,LEE,True,2,2
25,Nwaneri,MID,1,Arsenal,ARS,5.5,0.3,a,,0.0,0.0,0.0,0.0,0.0,0.0,11,LEE,True,2,2
26,Zubimendi,MID,1,Arsenal,ARS,5.5,2.3,a,,5.0,5.0,16.0,1.9,2.0,2.0,11,LEE,True,2,2
27,Nelson,MID,1,Arsenal,ARS,5.0,0.1,a,,0.0,0.0,0.0,0.0,0.0,0.0,11,LEE,True,2,2
28,Kabia,MID,1,Arsenal,ARS,4.5,0.3,a,,0.0,0.0,0.0,0.0,0.0,0.0,11,LEE,True,2,2
29,Sambi,MID,1,Arsenal,ARS,4.5,0.1,a,,0.0,0.0,0.0,0.0,0.0,0.0,11,LEE,True,2,2
30,Havertz,FWD,1,Arsenal,ARS,7.5,1.3,a,,1.0,1.0,2.8,0.8,2.0,0.6,11,LEE,True,2,2
31,G.Jesus,FWD,1,Arsenal,ARS,6.5,0.0,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,LEE,True,2,2
662,Mosquera,DEF,1,Arsenal,ARS,5.5,0.1,a,,0.0,0.0,0.0,0.0,0.0,0.0,11,LEE,True,2,2
666,Gyökeres,FWD,1,Arsenal,ARS,9.0,24.9,a,,1.0,1.0,0.4,5.5,6.0,1.2,11,LEE,True,2,2
32,Martinez,GK,2,Aston Villa,AVL,5.0,1.0,a,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5,BRE,False,3,2
33,M.Bizot,GK,2,Aston Villa,AVL,4.5,0.8,a,,7.0,7.0,19.6,0.0,0.0,2.0,5,BRE,False,3,2
34,Gauci,GK,2,Aston Villa,AVL,4.0,0.2,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,BRE,False,3,2
35,Marschall,GK,2,Aston Villa,AVL,4.0,0.0,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,BRE,False,3,2
36,Cash,DEF,2,Aston Villa,AVL,4.5,3.9,a,,8.0,8.0,37.6,1.1,2.0,4.1,5,BRE,False,3,2
37,Digne,DEF,2,Aston Villa,AVL,4.5,2.2,a,,6.0,6.0,11.6,5.8,0.0,1.7,5,BRE,False,3,2
38,Konsa,DEF,2,Aston Villa,AVL,4.5,18.1,s,0.0,3.0,3.0,1.8,1.1,0.0,0.3,5,BRE,False,3,2
39,Maatsen,DEF,2,Aston Villa,AVL,4.5,0.8,a,,0.0,0.0,0.0,0.0,0.0,0.0,5,BRE,False,3,2
40,Mings,DEF,2,Aston Villa,AVL,4.5,1.2,a,,6.0,6.0,13.0,3.7,0.0,1.7,5,BRE,False,3,2
41,Pau,DEF,2,Aston Villa,AVL,4.5,0.5,a,,0.0,0.0,0.0,0.0,0.0,0.0,5,BRE,False,3,2
42,A.García,DEF,2,Aston Villa,AVL,4.0,0.3,d,25.0,0.0,0.0,0.0,0.0,0.0,0.0,5,BRE,False,3,2
43,Alex Moreno,DEF,2,Aston Villa,AVL,4.0,9.4,a,,0.0,0.0,0.0,0.0,0.0,0.0,5,BRE,False,3,2
44,Bogarde,DEF,2,Aston Villa,AVL,4.0,0.3,a,,0.0,0.0,0.0,0.0,0.0,0.0,5,BRE,False,3,2
45,Sousa,DEF,2,Aston Villa,AVL,4.0,0.4,a,,0.0,0.0,0.0,0.0,0.0,0.0,5,BRE,False,3,2
46,Yasin,DEF,2,Aston Villa,AVL,4.0,0.2,a,,0.0,0.0,0.0,0.0,0.0,0.0,5,BRE,False,3,2
47,Rogers,MID,2,Aston Villa,AVL,7.0,9.7,a,100.0,3.0,3.0,7.2,20.1,4.0,3.1,5,BRE,False,3,2
48,Tielemans,MID,2,Aston Villa,AVL,6.0,2.2,a,,3.0,3.0,4.0,1.1,0.0,0.5,5,BRE,False,3,2
49,Bailey,MID,2,Aston Villa,AVL,5.5,0.5,a,,0.0,0.0,0.0,0.0,0.0,0.0,5,BRE,False,3,2
50,Buendía,MID,2,Aston Villa,AVL,5.4,0.1,a,,0.0,0.0,0.0,0.0,0.0,0.0,5,BRE,False,3,2
51,Iling Jr,MID,2,Aston Villa,AVL,5.5,0.0,a,,0.0,0.0,0.0,0.0,0.0,0.0,5,BRE,False,3,2
53,Malen,MID,2,Aston Villa,AVL,5.4,1.6,a,,1.0,1.0,3.0,0.0,17.0,2.0,5,BRE,False,3,2
54,McGinn,MID,2,Aston Villa,AVL,5.5,0.7,a,,3.0,3.0,5.0,19.3,6.0,3.0,5,BRE,False,3,2
55,Barkley,MID,2,Aston Villa,AVL,5.0,0.1,d,25.0,0.0,0.0,0.0,0.0,0.0,0.0,5,BRE,False,3,2
56,Barrenechea,MID,2,Aston Villa,AVL,5.0,0.0,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,BRE,False,3,2
57,Dobbin,MID,2,Aston Villa,AVL,5.0,0.1,a,,0.0,0.0,0.0,0.0,0.0,0.0,5,BRE,False,3,2
58,Kamara,MID,2,Aston Villa,AVL,5.0,0.2,a,,2.0,2.0,13.8,2.2,17.0,3.3,5,BRE,False,3,2
59,Onana,MID,2,Aston Villa,AVL,5.0,1.8,a,,5.0,5.0,19.4,3.0,0.0,2.2,5,BRE,False,3,2
60,Broggio,MID,2,Aston Villa,AVL,4.5,0.3,a,,0.0,0.0,0.0,0.0,0.0,0.0,5,BRE,False,3,2
61,Dendoncker,MID,2,Aston Villa,AVL,4.5,0.4,a,,0.0,0.0,0.0,0.0,0.0,0.0,5,BRE,False,3,2
62,Jimoh-Aloba,MID,2,Aston Villa,AVL,4.5,0.1,a,,0.0,0.0,0.0,0.0,0.0,0.0,5,BRE,False,3,2
63,Young,MID,2,Aston Villa,AVL,4.5,0.7,a,,0.0,0.0,0.0,0.0,0.0,0.0,5,BRE,False,3,2
64,Watkins,FWD,2,Aston Villa,AVL,9.0,25.8,a,,2.0,2.0,10.6,12.2,27.0,5.0,5,BRE,False,3,2
65,Redmond,FWD,2,Aston Villa,AVL,4.5,0.9,a,,0.0,0.0,0.0,0.0,0.0,0.0,5,BRE,False,3,2
677,Guessand,MID,2,Aston Villa,AVL,6.5,0.1,a,,0.0,0.0,0.0,0.0,0.0,0.0,5,BRE,False,3,2
688,Wright,GK,2,Aston Villa,AVL,4.0,0.4,a,,0.0,0.0,0.0,0.0,0.0,0.0,5,BRE,False,3,2
183,Weiss,GK,3,Burnley,BUR,4.5,0.2,a,,0.0,0.0,0.0,0.0,0.0,0.0,17,SUN,True,2,2
184,Green,GK,3,Burnley,BUR,4.0,0.4,a,,0.0,0.0,0.0,0.0,0.0,0.0,17,SUN,True,2,2
185,Hladký,GK,3,Burnley,BUR,4.0,0.2,a,,0.0,0.0,0.0,0.0,0.0,0.0,17,SUN,True,2,2
186,Roberts,DEF,3,Burnley,BUR,4.5,0.1,a,,0.0,0.0,0.0,0.0,0.0,0.0,17,SUN,True,2,2
187,Walker,DEF,3,Burnley,BUR,4.5,1.9,a,,1.0,1.0,8.2,0.9,1.0,1.0,17,SUN,True,2,2
188,Delcroix,DEF,3,Burnley,BUR,4.0,0.3,a,,0.0,0.0,0.0,0.0,0.0,0.0,17,SUN,True,2,2
189,Dodgson,DEF,3,Burnley,BUR,4.0,0.0,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,SUN,True,2,2
190,Ekdal,DEF,3,Burnley,BUR,4.0,0.2,a,,1.0,1.0,9.8,0.5,8.0,1.8,17,SUN,True,2,2
191,Estève,DEF,3,Burnley,BUR,4.0,19.7,a,,1.0,1.0,19.4,0.5,17.0,3.7,17,SUN,True,2,2
192,Hartman,DEF,3,Burnley,BUR,4.0,0.5,a,,1.0,1.0,13.4,11.7,2.0,2.7,17,SUN,True,2,2
193,Humphreys,DEF,3,Burnley,BUR,4.0,0.1,d,25.0,0.0,0.0,0.0,0.0,0.0,0.0,17,SUN,True,2,2
194,Jordan,DEF,3,Burnley,BUR,4.0,0.2,a,,0.0,0.0,0.0,0.0,0.0,0.0,17,SUN,True,2,2
195,Lucas Pires,DEF,3,Burnley,BUR,4.0,0.2,a,,0.0,0.0,0.0,0.0,0.0,0.0,17,SUN,True,2,2
196,Sambo,DEF,3,Burnley,BUR,4.0,0.1,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,SUN,True,2,2
197,Sonne,DEF,3,Burnley,BUR,4.0,0.1,a,,1.0,1.0,4.6,15.9,6.0,2.7,17,SUN,True,2,2
198,Tuanzebe,DEF,3,Burnley,BUR,4.0,2.3,a,,0.0,0.0,0.0,0.0,0.0,0.0,17,SUN,True,2,2
199,Worrall,DEF,3,Burnley,BUR,4.0,0.1,a,,0.0,0.0,0.0,0.0,0.0,0.0,17,SUN,True,2,2
200,Anthony,MID,3,Burnley,BUR,5.5,0.1,a,,2.0,2.0,7.0,26.2,32.0,6.5,17,SUN,True,2,2
201,Benson,MID,3,Burnley,BUR,5.5,0.0,a,,0.0,0.0,0.0,0.0,0.0,0.0,17,SUN,True,2,2
202,Bruun Larsen,MID,3,Burnley,BUR,5.5,0.0,a,,1.0,1.0,3.6,0.7,8.0,1.2,17,SUN,True,2,2
203,Boateng,MID,3,Burnley,BUR,5.0,0.1,a,,0.0,0.0,0.0,0.0,0.0,0.0,17,SUN,True,2,2
204,Churlinov,MID,3,Burnley,BUR,5.0,0.0,a,,0.0,0.0,0.0,0.0,0.0,0.0,17,SUN,True,2,2
205,Cullen,MID,3,Burnley,BUR,5.0,0.1,a,,4.0,4.0,23.8,59.4,0.0,8.3,17,SUN,True,2,2
206,Edwards,MID,3,Burnley,BUR,5.0,0.1,a,,1.0,1.0,0.0,0.0,0.0,0.0,17,SUN,True,2,2
207,Hannibal,MID,3,Burnley,BUR,5.0,0.1,a,,2.0,2.0,0.0,1.7,5.0,0.6,17,SUN,True,2,2
208,Koleosho,MID,3,Burnley,BUR,5.0,0.0,a,,0.0,0.0,0.0,0.0,0.0,0.0,17,SUN,True,2,2
209,Laurent,MID,3,Burnley,BUR,5.0,0.0,a,,2.0,2.0,10.6,11.2,20.0,4.2,17,SUN,True,2,2
210,Tchaouna,MID,3,Burnley,BUR,5.0,0.0,a,,1.0,1.0,3.2,0.8,0.0,0.4,17,SUN,True,2,2
211,A.Ramsey,MID,3,Burnley,BUR,4.5,9.3,a,,0.0,0.0,0.0,0.0,0.0,0.0,17,SUN,True,2,2
212,Adewumi,MID,3,Burnley,BUR,4.5,0.0,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,SUN,True,2,2
213,Banel,MID,3,Burnley,BUR,4.5,0.0,a,,0.0,0.0,0.0,0.0,0.0,0.0,17,SUN,True,2,2
214,Trésor,MID,3,Burnley,BUR,4.5,0.1,a,,0.0,0.0,0.0,0.0,0.0,0.0,17,SUN,True,2,2
215,Flemming,FWD,3,Burnley,BUR,5.5,0.2,a,,1.0,1.0,0.0,0.0,0.0,0.0,17,SUN,True,2,2
216,Amdouni,FWD,3,Burnley,BUR,5.0,0.0,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,SUN,True,2,2
217,Foster,FWD,3,Burnley,BUR,5.0,0.5,a,,2.0,2.0,4.8,22.7,10.0,3.8,17,SUN,True,2,2
218,Barnes,FWD,3,Burnley,BUR,4.5,2.4,a,,0.0,0.0,0.0,0.0,0.0,0.0,17,SUN,True,2,2
219,Obafemi,FWD,3,Burnley,BUR,4.5,0.4,a,,0.0,0.0,0.0,0.0,0.0,0.0,17,SUN,True,2,2
470,Dúbravka,GK,3,Burnley,BUR,4.0,34.6,a,100.0,2.0,2.0,25.6,0.0,0.0,2.6,17,SUN,True,2,2
676,Ugochukwu,MID,3,Burnley,BUR,5.0,0.0,a,100.0,1.0,1.0,0.0,0.3,3.0,0.1,17,SUN,True,2,2
680,Broja,FWD,3,Burnley,BUR,5.5,0.2,a,100.0,0.0,0.0,0.0,0.0,0.0,0.0,17,SUN,True,2,2
66,Neto,GK,4,Bournemouth,BOU,4.5,0.2,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,WOL,True,2,2
67,Petrović,GK,4,Bournemouth,BOU,4.5,3.5,a,,2.0,2.0,47.8,0.0,0.0,4.8,20,WOL,True,2,2
68,Dennis,GK,4,Bournemouth,BOU,4.0,1.1,a,,0.0,0.0,0.0,0.0,0.0,0.0,20,WOL,True,2,2
69,McKenna,GK,4,Bournemouth,BOU,4.0,0.2,a,,0.0,0.0,0.0,0.0,0.0,0.0,20,WOL,True,2,2
70,Paulsen,GK,4,Bournemouth,BOU,4.0,0.1,a,,0.0,0.0,0.0,0.0,0.0,0.0,20,WOL,True,2,2
71,Zabarnyi,DEF,4,Bournemouth,BOU,5.0,0.1,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,WOL,True,2,2
72,Senesi,DEF,4,Bournemouth,BOU,4.5,1.1,a,,2.0,2.0,26.6,14.6,2.0,4.3,20,WOL,True,2,2
73,Smith,DEF,4,Bournemouth,BOU,4.5,0.4,a,,1.0,1.0,12.2,10.5,4.0,2.7,20,WOL,True,2,2
74,Truffert,DEF,4,Bournemouth,BOU,4.5,0.8,a,,0.0,0.0,18.2,19.1,0.0,3.7,20,WOL,True,2,2
75,Akinmboni,DEF,4,Bournemouth,BOU,4.0,0.3,a,,0.0,0.0,0.0,0.0,0.0,0.0,20,WOL,True,2,2
76,Bevan,DEF,4,Bournemouth,BOU,4.0,0.2,a,,0.0,0.0,0.0,0.0,0.0,0.0,20,WOL,True,2,2
77,Hill,DEF,4,Bournemouth,BOU,4.0,0.8,a,,1.0,1.0,3.0,0.1,0.0,0.3,20,WOL,True,2,2
78,J.Araujo,DEF,4,Bournemouth,BOU,4.0,1.3,a,,0.0,0.0,0.0,0.0,0.0,0.0,20,WOL,True,2,2
79,Mepham,DEF,4,Bournemouth,BOU,4.0,0.2,a,,0.0,0.0,0.0,0.0,0.0,0.0,20,WOL,True,2,2
80,Soler,DEF,4,Bournemouth,BOU,4.0,0.3,a,,0.0,0.0,0.0,0.0,0.0,0.0,20,WOL,True,2,2
81,Kluivert,MID,4,Bournemouth,BOU,7.0,0.7,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,WOL,True,2,2
82,Semenyo,MID,4,Bournemouth,BOU,7.1,12.3,a,,15.0,15.0,66.4,1.3,32.0,10.0,20,WOL,True,2,2
84,Tavernier,MID,4,Bournemouth,BOU,5.5,0.5,a,,4.0,4.0,24.6,14.1,33.0,7.2,20,WOL,True,2,2
85,Adams,MID,4,Bournemouth,BOU,5.0,0.3,a,,4.0,4.0,21.6,1.7,4.0,2.7,20,WOL,True,2,2
86,Brooks,MID,4,Bournemouth,BOU,5.0,0.2,a,,4.0,4.0,27.2,40.3,18.0,8.6,20,WOL,True,2,2
87,Christie,MID,4,Bournemouth,BOU,5.0,0.1,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,WOL,True,2,2
88,Cook,MID,4,Bournemouth,BOU,5.0,0.0,s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,WOL,True,2,2
89,Philip,MID,4,Bournemouth,BOU,5.0,0.1,a,,0.0,0.0,0.0,0.0,0.0,0.0,20,WOL,True,2,2
90,Scott,MID,4,Bournemouth,BOU,5.0,0.1,a,,2.0,2.0,2.0,2.1,2.0,0.6,20,WOL,True,2,2
91,Sinisterra,MID,4,Bournemouth,BOU,5.0,0.0,d,25.0,0.0,0.0,0.0,0.0,0.0,0.0,20,WOL,True,2,2
92,Faivre,MID,4,Bournemouth,BOU,4.5,0.2,a,,0.0,0.0,0.0,0.0,0.0,0.0,20,WOL,True,2,2
93,H.Traorè,MID,4,Bournemouth,BOU,4.5,1.0,a,,4.0,4.0,21.2,10.0,0.0,3.1,20,WOL,True,2,2
94,Sadi,MID,4,Bournemouth,BOU,4.5,0.1,a,,0.0,0.0,0.0,0.0,0.0,0.0,20,WOL,True,2,2
95,Silcott-Duberry,MID,4,Bournemouth,BOU,4.5,0.1,a,,0.0,0.0,0.0,0.0,0.0,0.0,20,WOL,True,2,2
96,Winterburn,MID,4,Bournemouth,BOU,4.5,0.1,a,,1.0,1.0,0.0,0.0,0.0,0.0,20,WOL,True,2,2
97,Evanilson,FWD,4,Bournemouth,BOU,7.0,2.2,a,,1.0,1.0,0.0,0.6,17.0,1.6,20,WOL,True,2,2
98,Enes Ünal,FWD,4,Bournemouth,BOU,5.5,0.0,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,WOL,True,2,2
99,Adu-Adjei,FWD,4,Bournemouth,BOU,4.5,0.3,a,,0.0,0.0,0.0,0.0,0.0,0.0,20,WOL,True,2,2
100,Kroupi.Jr,FWD,4,Bournemouth,BOU,4.5,1.2,a,,1.0,1.0,0.0,0.0,0.0,0.0,20,WOL,True,2,2
391,Doak,MID,4,Bournemouth,BOU,5.0,0.1,a,,0.0,0.0,0.0,0.0,0.0,0.0,20,WOL,True,2,2
685,Diakité,DEF,4,Bournemouth,BOU,4.5,0.2,a,,0.0,0.0,14.8,0.2,0.0,1.5,20,WOL,True,2,2
687,Rees-Dottin,MID,4,Bournemouth,BOU,4.5,0.1,a,,0.0,0.0,0.0,0.0,0.0,0.0,20,WOL,True,2,2
83,O.Dango,MID,5,Brentford,BRE,6.0,0.1,d,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2,AVL,True,3,2
101,Kelleher,GK,5,Brentford,BRE,4.5,10.5,a,100.0,1.0,1.0,11.8,0.0,0.0,1.2,2,AVL,True,3,2
102,Balcombe,GK,5,Brentford,BRE,4.0,0.3,a,,0.0,0.0,0.0,0.0,0.0,0.0,2,AVL,True,3,2
103,Cox,GK,5,Brentford,BRE,4.0,0.2,a,,0.0,0.0,0.0,0.0,0.0,0.0,2,AVL,True,3,2
104,Eyestone,GK,5,Brentford,BRE,4.0,0.1,a,,0.0,0.0,0.0,0.0,0.0,0.0,2,AVL,True,3,2
105,Valdimarsson,GK,5,Brentford,BRE,4.0,1.0,a,,0.0,0.0,0.0,0.0,0.0,0.0,2,AVL,True,3,2
106,Collins,DEF,5,Brentford,BRE,5.0,1.6,a,,0.0,0.0,9.8,0.2,5.0,1.5,2,AVL,True,3,2
107,Lewis-Potter,DEF,5,Brentford,BRE,5.0,0.4,a,,1.0,1.0,5.4,4.5,7.0,1.7,2,AVL,True,3,2
108,Ajer,DEF,5,Brentford,BRE,4.5,0.2,a,,0.0,0.0,0.0,0.0,0.0,0.0,2,AVL,True,3,2
109,Henry,DEF,5,Brentford,BRE,4.5,0.2,a,,1.0,1.0,8.6,11.5,6.0,2.6,2,AVL,True,3,2
110,Kayode,DEF,5,Brentford,BRE,4.5,0.2,a,,1.0,1.0,17.8,20.5,0.0,3.8,2,AVL,True,3,2
111,Pinnock,DEF,5,Brentford,BRE,4.5,0.2,d,75.0,0.0,0.0,0.0,0.0,0.0,0.0,2,AVL,True,3,2
112,Roerslev,DEF,5,Brentford,BRE,4.5,0.0,a,,0.0,0.0,0.0,0.0,0.0,0.0,2,AVL,True,3,2
113,Van den Berg,DEF,5,Brentford,BRE,4.5,0.4,a,,3.0,3.0,34.4,0.6,24.0,5.9,2,AVL,True,3,2
114,Arthur,DEF,5,Brentford,BRE,4.0,0.3,a,,0.0,0.0,0.0,0.0,0.0,0.0,2,AVL,True,3,2
115,Fredrick,DEF,5,Brentford,BRE,4.0,0.2,a,,0.0,0.0,0.0,0.0,0.0,0.0,2,AVL,True,3,2
116,Hickey,DEF,5,Brentford,BRE,4.0,0.5,a,,0.0,0.0,2.0,0.0,0.0,0.2,2,AVL,True,3,2
117,Ji-soo,DEF,5,Brentford,BRE,4.0,0.2,a,,0.0,0.0,0.0,0.0,0.0,0.0,2,AVL,True,3,2
118,Meghoma,DEF,5,Brentford,BRE,4.0,0.1,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,AVL,True,3,2
120,Schade,MID,5,Brentford,BRE,7.0,0.3,a,100.0,1.0,1.0,4.6,0.9,6.0,1.2,2,AVL,True,3,2
121,Damsgaard,MID,5,Brentford,BRE,6.0,0.9,a,,0.0,0.0,0.0,0.0,0.0,0.0,2,AVL,True,3,2
122,Milambo,MID,5,Brentford,BRE,5.5,0.1,a,,1.0,1.0,4.0,1.8,0.0,0.6,2,AVL,True,3,2
123,Carvalho,MID,5,Brentford,BRE,5.0,0.3,a,,2.0,2.0,5.4,5.0,3.0,1.3,2,AVL,True,3,2
124,Henderson,MID,5,Brentford,BRE,5.0,0.3,a,,1.0,1.0,0.0,1.1,0.0,0.1,2,AVL,True,3,2
125,Janelt,MID,5,Brentford,BRE,5.0,0.0,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,AVL,True,3,2
126,Jensen,MID,5,Brentford,BRE,5.0,0.1,a,,2.0,2.0,9.0,25.4,8.0,4.2,2,AVL,True,3,2
127,Nunes,MID,5,Brentford,BRE,5.0,0.0,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,AVL,True,3,2
