name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,player_id,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,gw,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,points,transfers_balance,transfers_in,transfers_out,price,was_home,winning_goals,yellow_cards,GW,season,pos,team,xP,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
Femi Seriki,0,,,,0,0,0,,,0.0,,,653,,,7,,0,0,0.0,,0.0,,2023-08-12T14:00:00Z,,,,0,,,8,0,,0,0,,0,1,0,0,,,,1.0,0.0,0.0,0,0,0,0,40,True,,0,1,2023-24,DEF,Sheffield Utd,0.5,0.0,0.0,0.0,0.0,0.0
Jack Hinshelwood,0,,,,0,0,0,,,0.0,,,621,,,4,,0,0,0.0,,0.0,,2023-08-12T14:00:00Z,,,,0,,,12,0,,0,0,,0,1,0,822,,,,1.0,4.0,0.0,0,0,0,0,45,True,,0,1,2023-24,MID,Brighton,1.5,0.0,0.0,0.0,0.0,0.0
Jadon Sancho,0,,,,0,4,0,,,11.3,,,397,,,10,,0,0,2.3,,3.8,,2023-08-14T19:00:00Z,,,,22,,,20,0,,0,0,,0,1,0,83993,,,,0.0,1.0,8.0,1,0,0,0,70,True,,0,1,2023-24,MID,Man Utd,3.0,0.05,0.05,0.0,1.08,0.0
Rhys Norrington-Davies,0,,,,0,0,0,,,0.0,,,487,,,7,,0,0,0.0,,0.0,,2023-08-12T14:00:00Z,,,,0,,,8,0,,0,0,,0,1,0,6456,,,,1.0,0.0,0.0,0,0,0,0,40,True,,0,1,2023-24,DEF,Sheffield Utd,0.1,0.0,0.0,0.0,0.0,0.0
Vitaly Janelt,0,,,,0,6,0,,,11.5,,,105,,,8,,2,0,4.3,,14.6,,2023-08-13T13:00:00Z,,,,90,,,18,0,,0,0,,0,1,0,6508,,,,2.0,2.0,17.0,2,0,0,0,55,True,,0,1,2023-24,MID,Brentford,2.1,0.01,0.03,0.02,1.26,1.0
Ionuț Radu,0,,,,0,0,0,,,0.0,,,607,,,3,,0,0,0.0,,0.0,,2023-08-12T14:00:00Z,,,,0,,,19,0,,0,0,,0,1,0,8745,,,,1.0,1.0,0.0,0,0,0,0,45,True,,0,1,2023-24,GK,Bournemouth,2.4,0.0,0.0,0.0,0.0,0.0
Andre Brooks,0,,,,0,3,0,,,0.0,,,655,,,7,,0,0,0.0,,0.0,,2023-08-12T14:00:00Z,,,,3,,,8,0,,0,0,,0,1,0,0,,,,1.0,0.0,0.0,1,0,0,0,45,True,,0,1,2023-24,MID,Sheffield Utd,0.5,0.01,0.01,0.0,0.0,0.0
Jack Grealish,0,,,,0,0,0,,,0.0,,,354,,,1,,0,0,0.0,,0.0,,2023-08-11T19:00:00Z,,,,0,,,6,0,,0,0,,0,1,0,488362,,,,3.0,0.0,0.0,0,0,0,0,75,False,,0,1,2023-24,MID,Man City,4.1,0.0,0.0,0.0,0.0,0.0
Emil Krafth,0,,,,0,0,0,,,0.0,,,417,,,6,,0,0,0.0,,0.0,,2023-08-12T16:30:00Z,,,,0,,,2,0,,0,0,,0,1,0,1621,,,,1.0,5.0,0.0,0,0,0,0,45,True,,0,1,2023-24,DEF,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0
Boubacar Traoré,0,,,,0,0,0,,,0.0,,,574,,,10,,0,0,0.0,,0.0,,2023-08-14T19:00:00Z,,,,0,,,14,0,,0,0,,0,1,0,43843,,,,0.0,1.0,0.0,0,0,0,0,45,False,,0,1,2023-24,MID,Wolves,0.5,0.0,0.0,0.0,0.0,0.0
Denis Franchi,0,,,,0,0,0,,,0.0,,,169,,,1,,0,0,0.0,,0.0,,2023-08-11T19:00:00Z,,,,0,,,13,0,,0,0,,0,1,0,13985,,,,3.0,0.0,0.0,0,0,0,0,40,True,,0,1,2023-24,GK,Burnley,-0.5,0.0,0.0,0.0,0.0,0.0
James Shea,0,,,,0,0,0,,,0.0,,,335,,,4,,0,0,0.0,,0.0,,2023-08-12T14:00:00Z,,,,0,,,5,0,,0,0,,0,1,0,17537,,,,1.0,4.0,0.0,0,0,0,0,45,False,,0,1,2023-24,GK,Luton,1.9,0.0,0.0,0.0,0.0,0.0
Curtis Jones,0,,,,0,1,0,,,1.8,,,300,,,9,,0,0,0.6,,4.6,,2023-08-13T15:30:00Z,,,,24,,,7,0,,0,0,,0,1,0,11655,,,,1.0,1.0,0.0,1,0,0,0,50,False,,0,1,2023-24,MID,Liverpool,2.1,0.01,0.01,0.0,0.24,0.0
Reece James,0,,,,0,15,0,,,35.9,,,206,,,9,,1,0,5.0,,11.4,,2023-08-13T15:30:00Z,,,,75,,,11,0,,0,0,,0,1,0,1339493,,,,1.0,1.0,3.0,2,0,0,0,55,True,,0,1,2023-24,DEF,Chelsea,2.1,0.42,0.45,0.03,1.23,1.0
Brandon Austin,0,,,,0,0,0,,,0.0,,,491,,,8,,0,0,0.0,,0.0,,2023-08-13T13:00:00Z,,,,0,,,4,0,,0,0,,0,1,0,18082,,,,2.0,2.0,0.0,0,0,0,0,40,False,,0,1,2023-24,GK,Spurs,1.0,0.0,0.0,0.0,0.0,0.0
Robin Olsen,0,,,,0,0,0,,,0.0,,,53,,,6,,0,0,0.0,,0.0,,2023-08-12T16:30:00Z,,,,0,,,15,0,,0,0,,0,1,0,74539,,,,1.0,5.0,0.0,0,0,0,0,40,False,,0,1,2023-24,GK,Aston Villa,0.5,0.0,0.0,0.0,0.0,0.0
Ben Osborn,0,,,,0,6,0,,,0.0,,,489,,,7,,1,0,0.0,,0.0,,2023-08-12T14:00:00Z,,,,86,,,8,0,,0,0,,0,1,0,2319,,,,1.0,0.0,0.0,2,0,0,0,50,True,,0,1,2023-24,MID,Sheffield Utd,1.1,0.01,0.13,0.12,2.01,1.0
Amad Diallo,0,,,,0,0,0,,,0.0,,,371,,,10,,0,0,0.0,,0.0,,2023-08-14T19:00:00Z,,,,0,,,20,0,,0,0,,0,1,0,4577,,,,0.0,1.0,0.0,0,0,0,0,45,True,,0,1,2023-24,MID,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Elanga,1,,,,0,17,0,,,20.5,,,378,,,2,,0,0,4.2,,19.2,,2023-08-12T12:00:00Z,,,,10,,,1,0,,0,0,,0,1,0,43975,,,,1.0,2.0,2.0,4,0,0,0,50,False,,0,1,2023-24,MID,Nott'm Forest,1.1,0.61,0.61,0.0,0.4,0.0
Oliver Norwood,0,,,,0,11,0,,,0.0,,,488,,,7,,1,0,0.0,,0.0,,2023-08-12T14:00:00Z,,,,90,,,8,0,,0,0,,0,1,0,2002,,,,1.0,0.0,0.0,2,0,0,0,50,True,,0,1,2023-24,MID,Sheffield Utd,0.8,0.09,0.13,0.04,2.01,1.0
Harry Toffolo,0,,,,0,0,0,,,0.0,,,465,,,2,,0,0,0.0,,0.0,,2023-08-12T12:00:00Z,,,,0,,,1,0,,0,0,,0,1,0,4471,,,,1.0,2.0,0.0,0,0,0,0,45,False,,0,1,2023-24,DEF,Nott'm Forest,1.5,0.0,0.0,0.0,0.0,0.0
Bernardo Veiga de Carvalho e Silva,0,,,,0,11,1,,,8.6,,,344,,,1,,0,0,1.1,,2.2,,2023-08-11T19:00:00Z,,,,90,,,6,0,,0,0,,0,1,0,404104,,,,3.0,0.0,0.0,3,0,0,0,65,False,,0,1,2023-24,MID,Man City,3.8,0.03,0.03,0.0,0.3,1.0
Charlie Taylor,0,,,,0,0,0,,,0.0,,,178,,,1,,0,0,0.0,,0.0,,2023-08-11T19:00:00Z,,,,0,,,13,0,,0,0,,0,1,0,79974,,,,3.0,0.0,0.0,0,0,0,0,40,True,,0,1,2023-24,DEF,Burnley,-0.5,0.0,0.0,0.0,0.0,0.0
Ivan Toney,0,,,,0,0,0,,,0.0,,,117,,,8,,0,0,0.0,,0.0,,2023-08-13T13:00:00Z,,,,0,,,18,0,,0,0,,0,1,0,10194,,,,2.0,2.0,0.0,0,0,0,0,80,True,,0,1,2023-24,FWD,Brentford,0.0,0.0,0.0,0.0,0.0,0.0
Nuno Varela Tavares,0,,,,0,0,0,,,0.0,,,23,,,2,,0,0,0.0,,0.0,,2023-08-12T12:00:00Z,,,,0,,,16,0,,0,0,,0,1,0,22301,,,,1.0,2.0,0.0,0,0,0,0,40,True,,0,1,2023-24,DEF,Arsenal,1.5,0.0,0.0,0.0,0.0,0.0
Alex Murphy,0,,,,0,0,0,,,0.0,,,634,,,6,,0,0,0.0,,0.0,,2023-08-12T16:30:00Z,,,,0,,,2,0,,0,0,,0,1,0,20805,,,,1.0,5.0,0.0,0,0,0,0,40,True,,0,1,2023-24,DEF,Newcastle,1.5,0.0,0.0,0.0,0.0,0.0
