method,gw,formation,xi_points,captain_id,vice_id,n_truth_matched,n_candidates,budget_used,optimum_points,optimum_formation,optimum_captain_id,efficiency,notes,used_fallback
rf,30,3-5-2,45.0,302.0,224.0,11,15,88.7,141.0,3-5-2,481.0,0.3191489361702128,,
rf_relaxed,30,3-5-2,44.0,302.0,224.0,11,15,91.7,141.0,3-5-2,481.0,0.3120567375886525,,
rf_pos,30,3-5-2,26.0,480.0,560.0,11,15,0.0,141.0,3-5-2,481.0,0.18439716312056736,,
rf_rank,30,,0.0,,,0,0,0.0,,,,,Selection failed,
ma3,30,3-5-2,49.0,275.0,302.0,11,15,86.4,141.0,3-5-2,481.0,0.3475177304964539,,
pos,30,5-3-2,11.0,685.0,681.0,11,15,56.9,141.0,3-5-2,481.0,0.07801418439716312,,
rf,31,3-4-3,30.0,302.0,388.0,11,15,83.49999999999999,142.0,3-4-3,200.0,0.2112676056338028,,
rf_relaxed,31,3-4-3,28.0,302.0,388.0,11,15,85.39999999999999,142.0,3-4-3,200.0,0.19718309859154928,,
rf_pos,31,3-4-3,8.0,399.0,357.0,11,13,0.0,142.0,3-4-3,200.0,0.056338028169014086,,
rf_rank,31,5-4-1,22.0,655.0,649.0,11,11,0.0,142.0,3-4-3,200.0,0.15492957746478872,,
ma3,31,4-3-3,43.0,233.0,275.0,11,15,72.19999999999999,142.0,3-4-3,200.0,0.3028169014084507,,
pos,31,3-4-3,14.0,642.0,641.0,11,15,56.8,142.0,3-4-3,200.0,0.09859154929577464,,
rf,32,3-4-3,43.0,302.0,117.0,11,15,74.7,125.0,3-5-2,315.0,0.344,,
rf_relaxed,32,3-4-3,43.0,302.0,117.0,11,15,74.7,125.0,3-5-2,315.0,0.344,,
rf_pos,32,3-5-2,4.0,463.0,180.0,11,14,0.0,125.0,3-5-2,315.0,0.032,,
rf_rank,32,4-3-3,10.0,550.0,504.0,11,15,0.0,125.0,3-5-2,315.0,0.08,,
ma3,32,3-4-3,42.0,233.0,91.0,11,15,70.9,125.0,3-5-2,315.0,0.336,,
pos,32,3-4-3,4.0,64.0,103.0,11,15,54.8,125.0,3-5-2,315.0,0.032,,
rf,33,3-5-2,44.0,302.0,254.0,11,15,82.80000000000003,119.0,3-5-2,91.0,0.3697478991596639,,
rf_relaxed,33,3-5-2,43.0,302.0,254.0,11,15,84.60000000000002,119.0,3-5-2,91.0,0.36134453781512604,,
rf_pos,33,,0.0,,,0,0,0.0,,,,,Selection failed,
rf_rank,33,,0.0,,,0,0,0.0,,,,,Selection failed,
ma3,33,3-4-3,72.0,301.0,481.0,11,15,68.39999999999999,119.0,3-5-2,91.0,0.6050420168067226,,
pos,33,3-4-3,9.0,136.0,514.0,11,15,52.29999999999999,119.0,3-5-2,91.0,0.07563025210084033,,
rf,34,3-5-2,43.0,276.0,390.0,11,15,82.50000000000001,140.0,3-5-2,543.0,0.30714285714285716,,
rf_relaxed,34,3-5-2,43.0,276.0,390.0,11,15,82.5,140.0,3-5-2,543.0,0.30714285714285716,,
rf_pos,34,4-3-3,3.0,208.0,27.0,11,12,0.0,140.0,3-5-2,543.0,0.02142857142857143,,
rf_rank,34,,0.0,,,0,0,0.0,,,,,Selection failed,
ma3,34,3-4-3,36.0,301.0,481.0,11,15,69.7,140.0,3-5-2,543.0,0.2571428571428571,,
pos,34,3-4-3,28.0,506.0,514.0,11,15,55.099999999999994,140.0,3-5-2,543.0,0.2,,
rf,35,3-4-3,58.0,249.0,224.0,11,15,80.69999999999999,118.0,4-3-3,249.0,0.4915254237288136,,
rf_relaxed,35,3-4-3,58.0,249.0,276.0,11,15,80.7,118.0,4-3-3,249.0,0.4915254237288136,,
rf_pos,35,3-5-2,5.0,208.0,404.0,11,14,0.0,118.0,4-3-3,249.0,0.0423728813559322,,
rf_rank,35,4-3-3,12.0,137.0,589.0,11,13,0.0,118.0,4-3-3,249.0,0.1016949152542373,,
ma3,35,3-5-2,42.0,315.0,259.0,11,15,70.0,118.0,4-3-3,249.0,0.3559322033898305,,
pos,35,3-4-3,15.0,86.0,78.0,11,15,48.6,118.0,4-3-3,249.0,0.1271186440677966,,
rf,36,3-4-3,38.0,390.0,282.0,11,15,89.29999999999998,138.0,4-5-1,287.0,0.2753623188405797,,
rf_relaxed,36,3-4-3,38.0,390.0,282.0,11,15,89.29999999999998,138.0,4-5-1,287.0,0.2753623188405797,,
rf_pos,36,,0.0,,,0,0,0.0,,,,,Selection failed,
rf_rank,36,,0.0,,,0,0,0.0,,,,,Selection failed,
ma3,36,3-5-2,51.0,543.0,390.0,11,15,80.4,138.0,4-5-1,287.0,0.3695652173913043,,
pos,36,3-4-3,7.0,692.0,651.0,11,15,50.2,138.0,4-5-1,287.0,0.050724637681159424,,
rf,37,3-4-3,36.0,388.0,390.0,11,15,91.2,123.0,3-4-3,255.0,0.2926829268292683,,
rf_relaxed,37,3-4-3,37.0,388.0,390.0,11,15,89.3,123.0,3-4-3,255.0,0.3008130081300813,,
rf_pos,37,3-4-3,11.0,352.0,413.0,11,14,0.0,123.0,3-4-3,255.0,0.08943089430894309,,
rf_rank,37,,0.0,,,0,0,0.0,,,,,Selection failed,
ma3,37,4-4-2,33.0,91.0,543.0,11,15,71.1,123.0,3-4-3,255.0,0.2682926829268293,,
pos,37,3-4-3,5.0,651.0,666.0,11,15,51.7,123.0,3-4-3,255.0,0.04065040650406504,,
rf,38,3-4-3,38.0,390.0,366.0,11,15,83.7,149.0,3-5-2,450.0,0.2550335570469799,,
rf_relaxed,38,3-4-3,35.0,366.0,390.0,11,15,83.7,149.0,3-5-2,450.0,0.2348993288590604,,
rf_pos,38,3-5-2,8.0,94.0,91.0,11,14,0.0,149.0,3-5-2,450.0,0.053691275167785234,,
rf_rank,38,,0.0,,,0,0,0.0,,,,,Selection failed,
ma3,38,3-4-3,44.0,287.0,543.0,11,15,79.10000000000001,149.0,3-5-2,450.0,0.2953020134228188,,
