method,gw,formation,xi_points,captain_id,vice_id,n_truth_matched,n_candidates,budget_used,notes,optimum_points,optimum_formation,optimum_captain_id,efficiency
rf,30,,0.0,,,0,0,0.0,Selection failed,,,,
ma3,30,3-5-2,46.0,6.0,19.0,11,14,84.8,OK,,,,
pos,30,3-4-3,3.0,61.0,60.0,11,15,45.8,OK,,,,
rf_pos,30,,0.0,,,0,0,0.0,Selection failed,,,,
rf_rank,30,,0.0,,,0,0,0.0,Selection failed,,,,
rf,31,3-5-2,30.0,355.0,19.0,11,13,86.9,OK,,,,
ma3,31,3-5-2,63.0,6.0,353.0,11,15,65.5,OK,,,,
pos,31,3-5-2,1.0,845.0,844.0,11,15,50.3,OK,,,,
rf_pos,31,,0.0,,,0,0,0.0,Selection failed,,,,
rf_rank,31,,0.0,,,0,0,0.0,Selection failed,,,,
rf,32,3-5-2,86.0,349.0,355.0,11,13,86.39999999999999,OK,,,,
ma3,32,3-4-3,46.0,362.0,29.0,11,15,65.3,OK,,,,
pos,32,3-5-2,4.0,847.0,846.0,11,15,39.7,OK,,,,
rf_pos,32,,0.0,,,0,0,0.0,Selection failed,,,,
rf_rank,32,,0.0,,,0,0,0.0,Selection failed,,,,
rf,33,3-5-2,63.0,303.0,516.0,11,14,83.10000000000001,OK,,,,
ma3,33,3-5-2,85.0,362.0,415.0,11,15,62.8,OK,,,,
pos,33,3-5-2,15.0,26.0,852.0,11,15,51.6,OK,,,,
rf_pos,33,,0.0,,,0,0,0.0,Selection failed,,,,
rf_rank,33,,0.0,,,0,0,0.0,Selection failed,,,,
rf,34,3-5-2,24.0,308.0,205.0,11,15,71.89999999999999,OK,,,,
ma3,34,3-5-2,59.0,362.0,415.0,11,15,72.79999999999998,OK,,,,
pos,34,3-5-2,15.0,857.0,856.0,11,15,37.0,OK,,,,
rf_pos,34,,0.0,,,0,0,0.0,Selection failed,,,,
rf_rank,34,,0.0,,,0,0,0.0,Selection failed,,,,
rf,35,3-5-2,28.0,308.0,516.0,11,14,83.3,OK,,,,
ma3,35,3-5-2,41.0,362.0,373.0,11,15,67.2,OK,,,,
pos,35,3-5-2,18.0,26.0,860.0,11,15,42.6,OK,,,,
rf_pos,35,,0.0,,,0,0,0.0,Selection failed,,,,
rf_rank,35,,0.0,,,0,0,0.0,Selection failed,,,,
rf,36,3-5-2,69.0,308.0,19.0,11,14,82.39999999999999,OK,,,,
ma3,36,3-5-2,37.0,373.0,362.0,11,15,73.5,OK,,,,
pos,36,3-5-2,13.0,22.0,860.0,11,15,51.800000000000004,OK,,,,
rf_pos,36,,0.0,,,0,0,0.0,Selection failed,,,,
rf_rank,36,,0.0,,,0,0,0.0,Selection failed,,,,
rf,37,3-5-2,37.0,516.0,19.0,11,14,78.20000000000002,OK,,,,
ma3,37,3-5-2,64.0,373.0,616.0,11,15,74.5,OK,,,,
pos,37,3-5-2,25.0,26.0,862.0,11,15,42.5,OK,,,,
rf_pos,37,,0.0,,,0,0,0.0,Selection failed,,,,
rf_rank,37,,0.0,,,0,0,0.0,Selection failed,,,,
rf,38,3-5-2,63.0,14.0,355.0,11,12,90.60000000000001,OK,,,,
ma3,38,4-4-2,32.0,6.0,540.0,11,15,77.5,OK,,,,
pos,38,3-5-2,2.0,9.0,866.0,11,15,44.8,OK,,,,
rf_pos,38,,0.0,,,0,0,0.0,Selection failed,,,,
rf_rank,38,,0.0,,,0,0,0.0,Selection failed,,,,
