player_id,gw,method,predicted_points,actual_points
666,30,rf,3.27,0
381,30,rf,3.19,0
449,30,rf,3.13,0
16,30,rf,3.04,1
235,30,rf,3.01,0
64,30,rf,2.96,3
430,30,rf,2.67,2
625,30,rf,2.62,2
423,30,rf,2.58,0
642,30,rf,2.58,0
455,30,rf,2.57,8
614,30,rf,2.57,2
516,30,rf,2.56,1
459,30,rf,2.54,6
402,30,rf,2.51,0
136,30,rf,2.5,0
612,30,rf,2.5,2
224,30,rf,2.48,0
324,30,rf,2.34,0
86,30,rf,2.33,1
660,30,rf,2.33,0
416,30,rf,2.3,1
487,30,rf,2.3,0
582,30,rf,2.3,1
332,30,rf,2.29,0
205,30,rf,2.28,1
158,30,rf,2.28,1
371,30,rf,2.27,7
237,30,rf,2.26,0
499,30,rf,2.26,0
488,30,rf,2.25,0
169,30,rf,2.24,8
372,30,rf,2.24,0
160,30,rf,2.23,0
167,30,rf,2.23,8
253,30,rf,2.23,0
299,30,rf,2.23,1
392,30,rf,2.23,0
553,30,rf,2.23,0
5,30,rf,2.22,1
6,30,rf,2.22,2
370,30,rf,2.22,1
593,30,rf,2.22,0
387,30,rf,2.21,0
668,30,rf,2.21,0
217,30,rf,2.2,2
358,30,rf,2.2,2
436,30,rf,2.2,0
507,30,rf,2.2,1
508,30,rf,2.2,1
267,30,rf,2.19,0
373,30,rf,2.19,2
129,30,rf,2.18,0
239,30,rf,2.18,-1
273,30,rf,2.18,0
477,30,rf,2.18,0
209,30,rf,2.17,2
126,30,rf,2.17,0
410,30,rf,2.17,0
478,30,rf,2.17,6
613,30,rf,2.17,0
242,30,rf,2.16,0
669,30,rf,2.15,0
386,30,rf,2.14,0
490,30,rf,2.14,0
452,30,rf,2.12,0
543,30,rf,2.09,0
225,30,rf,2.0,1
568,30,rf,2.0,0
663,30,rf,2.0,0
164,30,rf,1.99,0
427,30,rf,1.96,9
11,30,rf,1.95,0
388,30,rf,1.94,2
54,30,rf,1.93,0
302,30,rf,1.93,0
588,30,rf,1.93,0
648,30,rf,1.93,0
200,30,rf,1.92,1
351,30,rf,1.91,0
350,30,rf,1.9,1
457,30,rf,1.9,8
517,30,rf,1.89,0
491,30,rf,1.88,1
561,30,rf,1.88,0
424,30,rf,1.87,0
644,30,rf,1.87,0
646,30,rf,1.87,0
48,30,rf,1.86,0
353,30,rf,1.86,0
671,30,rf,1.86,0
362,30,rf,1.85,0
382,30,rf,1.85,0
