method,gw,formation,xi_points,captain_id,vice_id,n_truth_matched,n_candidates,budget_used,optimum_points,optimum_formation,optimum_captain_id,efficiency,notes,used_fallback
rf,2,3-4-3,23.0,1.0,3.0,11,15,59.0,142.0,5-3-2,142.0,0.1619718309859155,,
rf_relaxed,2,3-4-3,23.0,1.0,3.0,11,15,59.0,142.0,5-3-2,142.0,0.1619718309859155,,
rf_optfill,2,3-4-3,23.0,1.0,3.0,11,15,59.0,142.0,5-3-2,142.0,0.1619718309859155,,False
rf_pos,2,4-5-1,38.0,148.0,272.0,11,15,692.0,142.0,5-3-2,142.0,0.2676056338028169,,
rf_rank,2,3-5-2,35.0,548.0,240.0,11,15,615.0,142.0,5-3-2,142.0,0.24647887323943662,,
ma3,2,3-4-3,27.0,277.0,421.0,11,15,75.0,142.0,5-3-2,142.0,0.19014084507042253,,
pos,2,3-5-2,5.0,566.0,565.0,11,15,40.0,142.0,5-3-2,142.0,0.035211267605633804,,
rf,3,3-4-3,11.0,1.0,3.0,11,15,58.9,126.0,3-4-3,268.0,0.0873015873015873,,
rf_relaxed,3,3-4-3,11.0,1.0,3.0,11,15,58.9,126.0,3-4-3,268.0,0.0873015873015873,,
rf_optfill,3,3-4-3,11.0,1.0,3.0,11,15,58.9,126.0,3-4-3,268.0,0.0873015873015873,,False
rf_pos,3,4-5-1,34.0,210.0,81.0,11,15,713.0,126.0,3-4-3,268.0,0.2698412698412698,,
rf_rank,3,3-5-2,13.0,148.0,548.0,11,15,562.0,126.0,3-4-3,268.0,0.10317460317460317,,
ma3,3,4-4-2,33.0,277.0,122.0,11,15,78.9,126.0,3-4-3,268.0,0.2619047619047619,,
pos,3,3-5-2,2.0,577.0,538.0,11,15,50.9,126.0,3-4-3,268.0,0.015873015873015872,,
rf,4,3-5-2,33.0,357.0,251.0,11,15,84.4,132.0,3-4-3,579.0,0.25,,
rf_relaxed,4,3-5-2,41.0,251.0,357.0,11,15,98.4,132.0,3-4-3,579.0,0.3106060606060606,,
rf_optfill,4,3-5-2,33.0,357.0,251.0,11,15,84.4,132.0,3-4-3,579.0,0.25,,False
rf_pos,4,4-5-1,55.0,289.0,277.0,11,15,778.0,132.0,3-4-3,579.0,0.4166666666666667,,
rf_rank,4,3-5-2,17.0,336.0,216.0,11,15,577.0,132.0,3-4-3,579.0,0.12878787878787878,,
ma3,4,4-5-1,51.0,413.0,419.0,11,15,82.89999999999999,132.0,3-4-3,579.0,0.38636363636363635,,
pos,4,3-4-3,23.0,40.0,120.0,11,15,44.1,132.0,3-4-3,579.0,0.17424242424242425,,
rf,5,3-4-3,32.0,138.0,278.0,11,15,76.7,136.0,4-4-2,121.0,0.23529411764705882,,
rf_relaxed,5,3-4-3,32.0,138.0,420.0,11,15,76.0,136.0,4-4-2,121.0,0.23529411764705882,,
rf_optfill,5,3-4-3,32.0,138.0,278.0,11,15,76.7,136.0,4-4-2,121.0,0.23529411764705882,,False
rf_pos,5,4-5-1,29.0,144.0,484.0,11,15,564.0,136.0,4-4-2,121.0,0.21323529411764705,,
rf_rank,5,3-5-2,20.0,250.0,240.0,11,15,618.0,136.0,4-4-2,121.0,0.14705882352941177,,
ma3,5,3-4-3,44.0,413.0,233.0,11,15,78.9,136.0,4-4-2,121.0,0.3235294117647059,,
pos,5,3-5-2,6.0,606.0,605.0,11,15,42.9,136.0,4-4-2,121.0,0.04411764705882353,,
rf,6,3-5-2,47.0,251.0,230.0,11,15,92.89999999999999,125.0,3-5-2,36.0,0.376,,
rf_relaxed,6,3-5-2,47.0,251.0,230.0,11,15,92.89999999999999,125.0,3-5-2,36.0,0.376,,
rf_optfill,6,3-5-2,47.0,251.0,230.0,11,15,92.89999999999999,125.0,3-5-2,36.0,0.376,,False
rf_pos,6,4-5-1,30.0,125.0,144.0,11,15,677.0,125.0,3-5-2,36.0,0.24,,
rf_rank,6,3-5-2,5.0,405.0,336.0,11,15,569.0,125.0,3-5-2,36.0,0.04,,
ma3,6,3-4-3,41.0,237.0,579.0,11,15,78.60000000000001,125.0,3-5-2,36.0,0.328,,
pos,6,3-4-3,18.0,500.0,568.0,11,15,53.199999999999996,125.0,3-5-2,36.0,0.144,,
rf,7,3-5-2,43.0,579.0,230.0,11,15,97.0,120.0,3-4-3,190.0,0.35833333333333334,,
